day,p3,p15,p50,p85,p97
0,46.324,47.922,49.884,51.846,53.445
1,46.496,48.096,50.06,52.024,53.624
2,46.669,48.27,50.236,52.201,53.803
3,46.843,48.445,50.412,52.378,53.981
4,47.016,48.619,50.588,52.556,54.159
5,47.189,48.794,50.764,52.733,54.338
6,47.362,48.968,50.939,52.911,54.517
7,47.536,49.143,51.115,53.088,54.694
8,47.709,49.317,51.291,53.265,54.873
9,47.882,49.492,51.467,53.442,55.051
10,48.056,49.666,51.643,53.619,55.23
11,48.23,49.841,51.819,53.796,55.407
12,48.404,50.016,51.994,53.973,55.585
13,48.577,50.19,52.17,54.15,55.763
14,48.751,50.365,52.346,54.327,55.942
15,48.899,50.515,52.498,54.481,56.097
16,49.045,50.663,52.649,54.634,56.252
17,49.191,50.811,52.799,54.787,56.407
18,49.336,50.958,52.948,54.939,56.56
19,49.481,51.104,53.097,55.089,56.713
20,49.624,51.249,53.244,55.239,56.864
21,49.766,51.393,53.391,55.388,57.015
22,49.908,51.537,53.536,55.535,57.164
23,50.049,51.679,53.681,55.682,57.312
24,50.188,51.82,53.824,55.828,57.46
25,50.327,51.961,53.966,55.972,57.606
26,50.464,52.1,54.108,56.116,57.752
27,50.601,52.238,54.249,56.259,57.896
28,50.736,52.376,54.388,56.4,58.04
29,50.871,52.512,54.527,56.542,58.183
30,51.005,52.648,54.665,56.681,58.324
31,51.138,52.783,54.801,56.82,58.464
32,51.27,52.916,54.937,56.958,58.604
33,51.401,53.049,55.071,57.094,58.742
34,51.53,53.18,55.205,57.23,58.879
35,51.659,53.311,55.337,57.364,59.016
36,51.787,53.44,55.469,57.498,59.15
37,51.914,53.568,55.599,57.63,59.284
38,52.039,53.695,55.729,57.762,59.418
39,52.164,53.822,55.857,57.892,59.549
40,52.288,53.947,55.984,58.021,59.68
41,52.41,54.071,56.11,58.149,59.81
42,52.533,54.195,56.236,58.276,59.939
43,52.654,54.318,56.36,58.402,60.066
44,52.774,54.439,56.483,58.528,60.193
45,52.892,54.559,56.606,58.652,60.319
46,53.011,54.679,56.727,58.775,60.443
47,53.128,54.797,56.847,58.897,60.567
48,53.243,54.915,56.967,59.018,60.69
49,53.36,55.032,57.085,59.138,60.811
50,53.474,55.148,57.203,59.257,60.932
