day,p3,p15,p50,p85,p97
0,2.507,2.865,3.346,3.878,4.35
1,2.485,2.838,3.317,3.85,4.324
2,2.501,2.856,3.337,3.872,4.35
3,2.523,2.879,3.363,3.901,4.382
4,2.547,2.905,3.392,3.933,4.418
5,2.573,2.933,3.422,3.968,4.456
6,2.6,2.962,3.455,4.003,4.495
7,2.628,2.992,3.488,4.04,4.535
8,2.656,3.023,3.522,4.078,4.577
9,2.686,3.055,3.558,4.118,4.619
10,2.717,3.088,3.594,4.158,4.663
11,2.748,3.123,3.632,4.2,4.708
12,2.781,3.158,3.671,4.243,4.755
13,2.814,3.194,3.711,4.288,4.804
14,2.849,3.232,3.753,4.334,4.854
15,2.885,3.271,3.796,4.381,4.905
16,2.921,3.31,3.839,4.429,4.957
17,2.957,3.349,3.883,4.477,5.01
18,2.994,3.389,3.927,4.526,5.063
19,3.031,3.43,3.971,4.575,5.116
20,3.068,3.47,4.016,4.624,5.169
21,3.105,3.51,4.06,4.674,5.223
22,3.142,3.55,4.105,4.722,5.276
23,3.179,3.59,4.149,4.771,5.329
24,3.216,3.63,4.193,4.82,5.381
25,3.252,3.67,4.237,4.868,5.434
26,3.289,3.71,4.281,4.916,5.486
27,3.325,3.749,4.324,4.964,5.537
28,3.362,3.788,4.367,5.012,5.589
29,3.398,3.827,4.41,5.059,5.639
30,3.433,3.866,4.453,5.105,5.69
31,3.469,3.904,4.495,5.152,5.74
32,3.504,3.942,4.536,5.197,5.789
33,3.539,3.98,4.578,5.243,5.838
34,3.574,4.017,4.619,5.288,5.886
35,3.608,4.054,4.659,5.332,5.934
36,3.642,4.09,4.699,5.376,5.981
37,3.675,4.127,4.739,5.419,6.028
38,3.708,4.163,4.778,5.462,6.074
39,3.741,4.198,4.817,5.504,6.119
40,3.774,4.233,4.855,5.546,6.164
41,3.806,4.268,4.893,5.587,6.208
42,3.838,4.302,4.93,5.628,6.252
43,3.87,4.336,4.967,5.669,6.296
44,3.901,4.37,5.004,5.709,6.339
45,3.932,4.403,5.04,5.748,6.381
46,3.963,4.436,5.076,5.787,6.423
47,3.993,4.469,5.112,5.826,6.464
48,4.024,4.501,5.147,5.864,6.505
49,4.053,4.533,5.182,5.902,6.545
50,4.083,4.565,5.216,5.939,6.585
51,4.112,4.596,5.25,5.976,6.625
52,4.141,4.627,5.284,6.013,6.664
53,4.17,4.658,5.317,6.049,6.702
54,4.198,4.688,5.35,6.085,6.741
55,4.226,4.718,5.383,6.12,6.778
56,4.254,4.748,5.415,6.155,6.816
57,4.282,4.777,5.447,6.189,6.852
58,4.309,4.806,5.478,6.224,6.889
59,4.336,4.835,5.51,6.257,6.925
60,4.363,4.864,5.541,6.291,6.961
61,4.39,4.892,5.571,6.324,6.996
62,4.416,4.92,5.602,6.357,7.031
63,4.442,4.948,5.632,6.39,7.066
64,4.468,4.976,5.662,6.422,7.1
65,4.494,5.003,5.691,6.454,7.134
66,4.519,5.03,5.721,6.485,7.168
67,4.544,5.057,5.749,6.516,7.201
