day,p3,p15,p50,p85,p97
0,31.651,32.651,33.879,35.106,36.106
1,31.752,32.75,33.975,35.2,36.198
2,31.854,32.849,34.071,35.294,36.289
3,31.955,32.948,34.168,35.387,36.381
4,32.056,33.047,34.264,35.481,36.472
5,32.157,33.146,34.36,35.574,36.563
6,32.259,33.246,34.457,35.668,36.654
7,32.36,33.345,34.553,35.761,36.746
8,32.462,33.444,34.649,35.854,36.836
9,32.564,33.543,34.746,35.948,36.928
10,32.666,33.643,34.842,36.041,37.018
11,32.767,33.742,34.938,36.135,37.109
12,32.869,33.841,35.035,36.228,37.2
13,32.971,33.941,35.131,36.321,37.291
14,33.073,34.04,35.227,36.414,37.381
15,33.163,34.132,35.321,36.51,37.479
16,33.252,34.222,35.413,36.604,37.574
17,33.338,34.31,35.503,36.696,37.668
18,33.422,34.396,35.591,36.785,37.759
19,33.505,34.48,35.677,36.873,37.848
20,33.586,34.562,35.761,36.959,37.935
21,33.665,34.643,35.843,37.043,38.021
22,33.743,34.722,35.924,37.126,38.105
23,33.818,34.799,36.003,37.207,38.187
24,33.893,34.875,36.08,37.286,38.267
25,33.966,34.949,36.156,37.363,38.347
26,34.037,35.022,36.231,37.44,38.424
27,34.108,35.094,36.304,37.515,38.501
28,34.177,35.164,36.376,37.588,38.576
29,34.244,35.233,36.447,37.661,38.649
30,34.311,35.301,36.516,37.732,38.722
31,34.377,35.368,36.585,37.801,38.793
32,34.441,35.434,36.652,37.87,38.863
33,34.504,35.498,36.718,37.938,38.932
34,34.567,35.562,36.783,38.005,39
35,34.628,35.624,36.847,38.07,39.066
36,34.689,35.686,36.91,38.135,39.132
37,34.748,35.747,36.973,38.198,39.197
38,34.807,35.807,37.034,38.261,39.261
39,34.865,35.866,37.095,38.323,39.324
40,34.922,35.924,37.154,38.384,39.386
41,34.978,35.981,37.213,38.445,39.448
42,35.034,36.038,37.271,38.504,39.508
43,35.089,36.094,37.328,38.563,39.568
44,35.144,36.15,37.385,38.62,39.627
45,35.197,36.204,37.441,38.678,39.685
46,35.25,36.258,37.496,38.735,39.743
47,35.302,36.312,37.551,38.79,39.8
48,35.354,36.364,37.605,38.846,39.856
49,35.405,36.416,37.658,38.9,39.912
50,35.456,36.468,37.711,38.954,39.967
51,35.506,36.519,37.764,39.008,40.021
52,35.555,36.57,37.815,39.061,40.075
53,35.604,36.619,37.866,39.113,40.129
54,35.652,36.669,37.917,39.165,40.182
55,35.701,36.718,37.967,39.216,40.234
56,35.748,36.766,38.017,39.267,40.285
57,35.795,36.814,38.066,39.317,40.337
58,35.841,36.862,38.115,39.367,40.388
59,35.887,36.909,38.163,39.417,40.438
60,35.933,36.956,38.211,39.466,40.488
61,35.978,37.002,38.258,39.514,40.538
62,36.023,37.048,38.305,39.562,40.587
63,36.068,37.093,38.352,39.61,40.635
64,36.113,37.139,38.398,39.657,40.683
65,36.157,37.183,38.444,39.704,40.731
66,36.2,37.228,38.489,39.75,40.778
67,36.243,37.272,38.534,39.797,40.825
68,36.286,37.315,38.579,39.842,40.872
69,36.329,37.359,38.623,39.888,40.918
70,36.371,37.402,38.667,39.933,40.964
71,36.412,37.444,38.711,39.978,41.01
72,36.453,37.486,38.754,40.022,41.055
73,36.494,37.528,38.797,40.066,41.1
74,36.535,37.57,38.84,40.11,41.145
75,36.576,37.611,38.882,40.153,41.189
76,36.616,37.652,38.924,40.196,41.233
77,36.656,37.693,38.966,40.239,41.276
78,36.696,37.734,39.008,40.281,41.319
79,36.735,37.774,39.049,40.324,41.362
80,36.774,37.814,39.09,40.365,41.405
81,36.813,37.853,39.13,40.407,41.448
82,36.851,37.892,39.17,40.448,41.49
83,36.89,37.931,39.21,40.489,41.531
84,36.928,37.97,39.25,40.53,41.573
85,36.966,38.009,39.29,40.57,41.614
86,37.003,38.047,39.329,40.61,41.654
87,37.04,38.085,39.368,40.651,41.696
88,37.077,38.123,39.406,40.69,41.736
89,37.114,38.16,39.445,40.729,41.776
90,37.151,38.198,39.483,40.768,41.815
91,37.187,38.235,39.521,40.807,41.855
92,37.222,38.271,39.559,40.846,41.895
93,37.259,38.308,39.596,40.884,41.934
94,37.294,38.344,39.634,40.923,41.973
95,37.33,38.381,39.671,40.96,42.011
96,37.365,38.416,39.707,40.998,42.05
97,37.4,38.452,39.744,41.036,42.088
98,37.435,38.488,39.78,41.073,42.126
99,37.469,38.523,39.816,41.11,42.163
100,37.503,38.558,39.852,41.147,42.201
101,37.537,38.593,39.888,41.183,42.238
102,37.572,38.627,39.923,41.219,42.275
103,37.606,38.662,39.959,41.255,42.312
104,37.638,38.696,39.994,41.291,42.349
105,37.672,38.73,40.028,41.327,42.385
106,37.705,38.764,40.063,41.362,42.421
107,37.738,38.797,40.097,41.398,42.457
108,37.771,38.831,40.132,41.433,42.493
109,37.803,38.864,40.166,41.467,42.528
110,37.835,38.897,40.199,41.502,42.564
111,37.868,38.929,40.233,41.537,42.598
112,37.9,38.962,40.266,41.571,42.633
113,37.931,38.994,40.3,41.605,42.668
114,37.963,39.027,40.333,41.638,42.702
115,37.994,39.059,40.365,41.672,42.736
116,38.025,39.09,40.398,41.705,42.771
117,38.056,39.122,40.43,41.739,42.804
118,38.087,39.154,40.463,41.771,42.838
119,38.118,39.185,40.495,41.804,42.872
120,38.148,39.216,40.526,41.837,42.905
121,38.178,39.247,40.558,41.87,42.938
122,38.208,39.277,40.59,41.902,42.971
123,38.239,39.308,40.621,41.934,43.003
124,38.268,39.338,40.652,41.966,43.036
125,38.298,39.369,40.683,41.997,43.068
126,38.327,39.398,40.714,42.029,43.1
127,38.356,39.428,40.744,42.06,43.132
128,38.386,39.458,40.775,42.091,43.163
129,38.414,39.487,40.805,42.122,43.195
130,38.443,39.517,40.835,42.153,43.226
131,38.471,39.546,40.865,42.184,43.258
