day,p3,p15,p50,p85,p97
0,45.644,47.217,49.148,51.078,52.651
1,45.808,47.383,49.317,51.25,52.825
2,45.971,47.549,49.485,51.422,53
3,46.134,47.714,49.654,51.594,53.175
4,46.297,47.88,49.823,51.766,53.349
5,46.461,48.046,49.992,51.938,53.524
6,46.624,48.212,50.161,52.11,53.698
7,46.788,48.378,50.33,52.282,53.872
8,46.951,48.544,50.499,52.454,54.046
9,47.115,48.71,50.668,52.625,54.22
10,47.278,48.875,50.837,52.798,54.395
11,47.441,49.041,51.005,52.969,54.569
12,47.605,49.208,51.174,53.141,54.743
13,47.769,49.374,51.343,53.313,54.917
14,47.933,49.54,51.512,53.484,55.091
15,48.066,49.676,51.651,53.626,55.236
16,48.198,49.81,51.79,53.769,55.381
17,48.33,49.945,51.927,53.909,55.524
18,48.461,50.078,52.064,54.05,55.668
19,48.591,50.211,52.2,54.189,55.809
20,48.72,50.343,52.335,54.328,55.951
21,48.849,50.474,52.47,54.465,56.09
22,48.976,50.604,52.603,54.601,56.23
23,49.102,50.733,52.735,54.737,56.368
24,49.227,50.861,52.866,54.871,56.505
25,49.352,50.988,52.996,55.004,56.64
26,49.475,51.114,53.126,55.137,56.776
27,49.598,51.239,53.254,55.268,56.91
28,49.719,51.363,53.381,55.399,57.042
29,49.84,51.486,53.507,55.528,57.174
30,49.96,51.609,53.633,55.657,57.305
31,50.079,51.73,53.757,55.784,57.435
32,50.196,51.85,53.881,55.911,57.565
33,50.313,51.97,54.003,56.037,57.693
34,50.429,52.088,54.125,56.161,57.82
35,50.545,52.206,54.245,56.285,57.946
36,50.659,52.323,54.365,56.408,58.072
37,50.772,52.439,54.484,56.529,58.195
38,50.885,52.554,54.602,56.65,58.318
39,50.996,52.667,54.719,56.77,58.441
40,51.108,52.781,54.835,56.889,58.562
41,51.217,52.893,54.95,57.007,58.683
42,51.327,53.005,55.064,57.124,58.802
43,51.434,53.115,55.178,57.24,58.921
44,51.543,53.225,55.29,57.356,59.038
45,51.649,53.334,55.402,57.47,59.155
46,51.754,53.442,55.513,57.584,59.272
47,51.86,53.549,55.623,57.697,59.386
48,51.964,53.656,55.732,57.809,59.501
49,52.067,53.761,55.841,57.92,59.614
50,52.169,53.866,55.948,58.03,59.727
51,52.272,53.97,56.055,58.139,59.838
52,52.373,54.074,56.161,58.248,59.949
53,52.473,54.176,56.266,58.356,60.059
54,52.573,54.278,56.37,58.463,60.168
55,52.671,54.378,56.474,58.569,60.276
56,52.769,54.479,56.577,58.675,60.384
57,52.867,54.578,56.679,58.779,60.491
58,52.963,54.677,56.78,58.883,60.597
59,53.059,54.775,56.881,58.986,60.702
60,53.155,54.872,56.981,59.089,60.806
61,53.249,54.969,57.08,59.19,60.91
62,53.343,55.065,57.178,59.291,61.013
63,53.437,55.16,57.276,59.392,61.115
64,53.53,55.255,57.373,59.491,61.217
65,53.621,55.349,57.47,59.591,61.319
66,53.713,55.442,57.566,59.689,61.419
67,53.804,55.536,57.661,59.787,61.519
68,53.894,55.628,57.756,59.884,61.618
69,53.984,55.72,57.85,59.98,61.716
70,54.073,55.81,57.944,60.077,61.815
71,54.162,55.901,58.037,60.172,61.911
72,54.25,55.991,58.129,60.266,62.008
73,54.337,56.08,58.221,60.361,62.105
74,54.424,56.169,58.312,60.454,62.2
75,54.51,56.258,58.402,60.547,62.294
76,54.596,56.345,58.492,60.639,62.389
77,54.681,56.432,58.582,60.731,62.482
78,54.765,56.519,58.671,60.822,62.576
79,54.85,56.605,58.759,60.913,62.668
80,54.933,56.69,58.847,61.003,62.76
81,55.017,56.775,58.934,61.092,62.851
82,55.099,56.859,59.02,61.182,62.942
83,55.181,56.944,59.107,61.27,63.032
84,55.262,57.027,59.192,61.358,63.122
85,55.344,57.11,59.277,61.445,63.211
86,55.424,57.192,59.362,61.532,63.3
87,55.504,57.273,59.446,61.618,63.388
88,55.584,57.355,59.53,61.704,63.475
89,55.663,57.436,59.613,61.789,63.563
90,55.742,57.517,59.695,61.874,63.648
91,55.82,57.596,59.777,61.958,63.735
92,55.897,57.676,59.859,62.042,63.821
93,55.975,57.755,59.94,62.125,63.905
94,56.052,57.834,60.021,62.208,63.99
95,56.128,57.912,60.101,62.291,64.074
96,56.204,57.989,60.181,62.373,64.158
97,56.28,58.067,60.26,62.454,64.241
98,56.355,58.144,60.339,62.535,64.324
99,56.429,58.22,60.418,62.616,64.406
100,56.503,58.296,60.496,62.696,64.488
101,56.577,58.371,60.573,62.776,64.57
102,56.651,58.447,60.651,62.854,64.65
103,56.724,58.521,60.727,62.933,64.731
104,56.796,58.595,60.804,63.012,64.811
105,56.869,58.669,60.88,63.09,64.89
106,56.94,58.743,60.955,63.167,64.97
107,57.011,58.816,61.03,63.245,65.049
108,57.082,58.888,61.105,63.321,65.127
109,57.153,58.96,61.179,63.398,65.205
110,57.224,59.033,61.253,63.473,65.281
111,57.294,59.104,61.326,63.548,65.358
112,57.363,59.175,61.399,63.623,65.435
113,57.432,59.246,61.472,63.698,65.511
114,57.501,59.316,61.544,63.772,65.587
115,57.569,59.386,61.616,63.846,65.662
116,57.637,59.455,61.687,63.919,65.737
117,57.704,59.524,61.758,63.992,65.812
118,57.771,59.593,61.829,64.064,65.886
119,57.838,59.661,61.899,64.136,65.959
120,57.904,59.729,61.969,64.208,66.033
121,57.969,59.796,62.038,64.28,66.107
122,58.035,59.863,62.107,64.351,66.179
123,58.1,59.93,62.176,64.422,66.251
124,58.165,59.997,62.244,64.492,66.323
125,58.23,60.063,62.312,64.561,66.394
126,58.294,60.128,62.38,64.631,66.465
127,58.358,60.194,62.447,64.7,66.535
128,58.422,60.259,62.514,64.768,66.605
129,58.485,60.324,62.58,64.836,66.675
130,58.547,60.387,62.646,64.905,66.745
131,58.61,60.451,62.712,64.972,66.814
132,58.672,60.515,62.777,65.039,66.883
133,58.734,60.578,62.842,65.106,66.951
134,58.796,60.641,62.907,65.173,67.018
135,58.856,60.703,62.971,65.239,67.087
136,58.917,60.766,63.035,65.305,67.154
137,58.977,60.828,63.099,65.37,67.221
138,59.038,60.89,63.163,65.436,67.287
139,59.098,60.951,63.226,65.5,67.353
140,59.157,61.012,63.288,65.565,67.42
141,59.216,61.073,63.351,65.629,67.485
142,59.276,61.133,63.413,65.693,67.55
143,59.334,61.193,63.475,65.757,67.616
144,59.392,61.253,63.537,65.82,67.681
145,59.451,61.313,63.598,65.883,67.745
146,59.508,61.371,63.659,65.946,67.81
147,59.566,61.431,63.72,66.009,67.873
148,59.623,61.49,63.78,66.07,67.937
149,59.68,61.548,63.84,66.133,68.001
150,59.737,61.606,63.9,66.194,68.063
151,59.794,61.664,63.96,66.255,68.126
152,59.849,61.721,64.019,66.317,68.189
153,59.906,61.779,64.078,66.377,68.25
154,59.962,61.836,64.137,66.438,68.312
155,60.017,61.893,64.196,66.498,68.374
156,60.073,61.95,64.254,66.558,68.435
157,60.127,62.006,64.312,66.618,68.497
158,60.182,62.062,64.37,66.678,68.558
159,60.236,62.118,64.428,66.737,68.619
160,60.291,62.174,64.485,66.796,68.679
161,60.346,62.23,64.542,66.855,68.739
162,60.399,62.285,64.599,66.914,68.799
163,60.453,62.34,64.656,66.972,68.859
164,60.506,62.394,64.712,67.03,68.919
165,60.56,62.45,64.769,67.088,68.978
166,60.612,62.504,64.825,67.146,69.037
167,60.666,62.558,64.881,67.203,69.096
168,60.718,62.612,64.937,67.261,69.155
169,60.771,62.666,64.992,67.318,69.213
170,60.823,62.719,65.047,67.375,69.272
171,60.875,62.773,65.103,67.432,69.331
172,60.927,62.826,65.158,67.489,69.388
173,60.978,62.879,65.212,67.545,69.446
174,61.031,62.933,65.267,67.601,69.503
175,61.082,62.985,65.321,67.658,69.561
176,61.134,63.038,65.376,67.713,69.618
177,61.184,63.09,65.43,67.769,69.675
178,61.235,63.142,65.484,67.825,69.733
179,61.286,63.195,65.538,67.88,69.789
180,61.336,63.246,65.591,67.936,69.846
181,61.386,63.298,65.645,67.991,69.903
182,61.437,63.35,65.698,68.046,69.958
183,61.487,63.401,65.751,68.101,70.015
184,61.538,63.453,65.804,68.155,70.07
185,61.587,63.504,65.857,68.21,70.126
186,61.637,63.555,65.91,68.264,70.182
187,61.686,63.606,65.962,68.319,70.238
188,61.736,63.657,66.015,68.372,70.293
189,61.785,63.707,66.067,68.426,70.349
190,61.834,63.757,66.119,68.48,70.404
191,61.883,63.808,66.171,68.534,70.458
192,61.932,63.858,66.223,68.587,70.514
193,61.98,63.908,66.275,68.641,70.569
194,62.03,63.959,66.326,68.694,70.622
195,62.078,64.008,66.378,68.747,70.677
196,62.126,64.058,66.429,68.8,70.732
197,62.174,64.107,66.48,68.853,70.786
198,62.222,64.156,66.531,68.906,70.841
199,62.271,64.206,66.582,68.958,70.894
200,62.318,64.255,66.633,69.011,70.948
201,62.366,64.304,66.684,69.063,71.002
202,62.413,64.353,66.735,69.116,71.056
203,62.462,64.403,66.785,69.167,71.108
204,62.509,64.451,66.835,69.22,71.162
