day,p3,p15,p50,p85,p97
0,2.44,2.779,3.232,3.729,4.166
1,2.398,2.737,3.196,3.704,4.155
2,2.408,2.748,3.21,3.723,4.181
3,2.424,2.766,3.232,3.749,4.212
4,2.443,2.787,3.256,3.778,4.245
5,2.464,2.81,3.282,3.808,4.279
6,2.487,2.835,3.31,3.84,4.315
7,2.51,2.861,3.339,3.873,4.352
8,2.535,2.888,3.369,3.906,4.389
9,2.561,2.915,3.4,3.941,4.428
10,2.587,2.944,3.431,3.977,4.467
11,2.615,2.974,3.464,4.014,4.508
12,2.643,3.004,3.498,4.052,4.55
13,2.672,3.036,3.533,4.091,4.593
14,2.702,3.068,3.569,4.131,4.637
15,2.733,3.102,3.606,4.172,4.682
16,2.764,3.135,3.644,4.214,4.728
17,2.795,3.17,3.682,4.257,4.775
18,2.827,3.204,3.72,4.299,4.821
19,2.859,3.239,3.758,4.342,4.868
20,2.891,3.273,3.797,4.385,4.915
21,2.923,3.308,3.835,4.428,4.962
22,2.954,3.342,3.874,4.47,5.009
23,2.986,3.377,3.912,4.513,5.055
24,3.018,3.411,3.95,4.555,5.101
25,3.049,3.445,3.987,4.597,5.147
26,3.08,3.479,4.025,4.638,5.193
27,3.111,3.512,4.062,4.68,5.238
28,3.142,3.546,4.099,4.721,5.283
29,3.172,3.579,4.135,4.761,5.327
30,3.203,3.612,4.172,4.802,5.371
31,3.233,3.644,4.208,4.842,5.415
32,3.262,3.676,4.243,4.881,5.458
33,3.292,3.708,4.278,4.92,5.501
34,3.321,3.739,4.313,4.959,5.543
35,3.35,3.771,4.348,4.997,5.585
36,3.378,3.802,4.382,5.035,5.626
37,3.406,3.832,4.416,5.072,5.667
38,3.434,3.862,4.449,5.11,5.708
39,3.462,3.892,4.482,5.146,5.748
40,3.49,3.922,4.515,5.183,5.788
41,3.517,3.951,4.547,5.219,5.827
42,3.544,3.98,4.579,5.254,5.866
43,3.57,4.009,4.611,5.289,5.904
44,3.597,4.038,4.643,5.324,5.942
45,3.623,4.066,4.674,5.359,5.98
46,3.648,4.094,4.704,5.393,6.017
47,3.674,4.121,4.735,5.427,6.054
48,3.699,4.149,4.765,5.46,6.09
49,3.724,4.176,4.795,5.493,6.127
50,3.749,4.203,4.825,5.526,6.162
51,3.774,4.229,4.854,5.559,6.198
52,3.798,4.255,4.883,5.591,6.233
53,3.822,4.281,4.912,5.623,6.268
54,3.846,4.307,4.94,5.654,6.302
55,3.87,4.333,4.968,5.685,6.336
56,3.893,4.358,4.996,5.716,6.37
57,3.916,4.383,5.024,5.747,6.403
58,3.939,4.408,5.051,5.777,6.436
59,3.962,4.432,5.078,5.807,6.469
60,3.985,4.457,5.105,5.837,6.502
61,4.007,4.481,5.132,5.866,6.534
62,4.029,4.505,5.158,5.896,6.566
63,4.051,4.529,5.184,5.925,6.598
64,4.073,4.552,5.21,5.954,6.63
65,4.095,4.575,5.236,5.982,6.661
66,4.116,4.599,5.262,6.011,6.692
